Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sun -21 May 2028 20:00,9776.0,9776.0,2294.0,58.0,0.0,7768.0,7730.0,0.0,0.0,0.0,-344.0,695949.0,38.0,0.0,695949.0,0.0,-344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 20:30,9718.0,9718.0,2294.0,58.0,0.0,9901.0,9859.0,0.0,0.0,0.0,-2535.0,696963.0,42.0,0.0,696963.0,0.0,-2535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 21:00,9050.0,9050.0,2294.0,58.0,0.0,9901.0,9859.0,0.0,0.0,0.0,-3203.0,698244.0,42.0,0.0,698244.0,0.0,-3203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 21:30,8711.0,8711.0,2294.0,58.0,0.0,9072.0,9024.0,0.0,0.0,0.0,-2713.0,699329.0,48.0,0.0,699329.0,0.0,-2713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 22:00,8865.0,8865.0,2294.0,58.0,0.0,9072.0,9024.0,0.0,0.0,0.0,-2559.0,700352.0,48.0,0.0,700352.0,0.0,-2559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 22:30,8565.0,8565.0,2294.0,58.0,0.0,9387.0,9315.0,0.0,0.0,0.0,-3174.0,701622.0,72.0,0.0,701622.0,0.0,-3174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 23:00,8667.0,8667.0,2294.0,58.0,0.0,9387.0,9315.0,0.0,0.0,0.0,-3072.0,702851.0,72.0,0.0,702851.0,0.0,-3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -21 May 2028 23:30,8879.0,8879.0,2294.0,58.0,0.0,7304.0,7273.0,0.0,0.0,0.0,-777.0,703162.0,32.0,0.0,703162.0,0.0,-777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 00:00,8447.0,8447.0,2294.0,58.0,0.0,5316.0,5306.0,779.0,0.0,0.0,-0.0,702772.0,10.0,0.0,702772.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 00:30,8161.0,8161.0,2294.0,58.0,0.0,3842.0,3834.0,1967.0,0.0,0.0,-0.0,701789.0,9.0,0.0,701789.0,1967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 01:00,8014.0,8014.0,2294.0,58.0,0.0,3842.0,3834.0,1820.0,0.0,0.0,-0.0,700879.0,9.0,0.0,700879.0,1820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 01:30,7929.0,7929.0,2294.0,58.0,0.0,3080.0,3070.0,2497.0,0.0,0.0,-0.0,699630.0,10.0,0.0,699630.0,2497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 02:00,8031.0,8031.0,2294.0,58.0,0.0,3080.0,3070.0,2599.0,0.0,0.0,-0.0,698331.0,10.0,0.0,698331.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 02:30,7922.0,7922.0,2294.0,58.0,0.0,4535.0,4522.0,1035.0,0.0,0.0,-0.0,697813.0,13.0,0.0,697813.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -22 May 2028 03:00,8283.0,8283.0,2294.0,58.0,0.0,4535.0,4522.0,1396.0,0.0,0.0,-0.0,697116.0,13.0,0.0,697116.0,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
