Scenario,Zone,n_year,pv-N_Broken Hill (GW),pv-N_Central NSW Tablelands (GW),pv-N_Central West NSW (GW),pv-N_Murray River (GW),pv-N_North West New South Wales (GW),pv-N_Northern NSW Tablelands (GW),pv-N_Riverland (GW),pv-Q_Darling Downs (GW),pv-Q_Fitzroy (GW),pv-S_Eastern Eyre Peninsula (GW),pv-S_Leigh Creek (GW),pv-S_Northern SA (GW),pv-S_Riverland (GW),pv-S_Roxby Downs (GW),pv-S_Western Eyre Peninsula (GW),pv-V_Murray River (GW),pv-W_Perth (GW),wind-N_Broken Hill (GW),wind-N_Central NSW Tablelands (GW),wind-N_Central West NSW (GW),wind-N_Murray River (GW),wind-N_North West New South Wales (GW),wind-N_Northern NSW Tablelands (GW),wind-N_Riverland (GW),wind-N_Southern NSW Tablelands (GW),wind-Q_Darling Downs (GW),wind-Q_Fitzroy (GW),wind-S_Eastern Eyre Peninsula (GW),wind-S_Leigh Creek (GW),wind-S_Mid-North SA (GW),wind-S_Northern SA (GW),wind-S_Riverland (GW),wind-S_South East SA (GW),wind-S_Western Eyre Peninsula (GW),wind-S_Yorke Peninsula (GW),wind-T_King Island (GW),wind-T_North East Tasmania (GW),wind-T_North West Tasmania (GW),wind-T_Tasmania Midlands (GW),wind-V_Gippsland (GW),wind-V_Moyne (GW),wind-V_Murray River (GW),wind-V_Western Victoria (GW),wind-W_Albany (GW),wind-W_Geraldton (GW),wind-W_Merredin (GW),storage-NSW (GW),storage-QLD (GW),storage-SA (GW),storage-TAS (GW),storage-VIC (GW),storage-WA (GW),storage (GWh)
22,None,-1,5.9427942791547785,0.803376943010857,1.1886292462805166,0.3978135238213696,23.628408303865275,27.99033566633273,5.753706782617758,5.269065946035831,3.863284323369776,4.312341098982781,7.846745415654695,0.5117816817569576,0.2508714569084702,4.828344613915164,1.874687698826204,0.7438847624830771,9.822211709753184,0.4240546073429136,0.1532488184170439,0.1233191331995549,0.0512616429562804,0.0476554974872982,0.0417882591354903,0.0505747866041446,29.02937338967443,0.0384109469871951,32.0732989499817,0.4583177550177488,4.9130730855362685,0.8965032748299961,0.0425736081696399,0.1357399269901265,0.1783328864580866,0.029142174292783,0.0271190798823219,0.5053411154422527,0.101816542550857,0.0142770999200401,0.0172318522455086,0.2908151302523905,0.0720349178366568,0.0002672761535329,1.2256166386257163,2.0128663156236115,0.3733006963828487,3.2973544157345493,30.605232448109454,9.138051010206349,2.418326674967549,0.7957378568789295,5.806821148971032,2.513661223001342,531.9583533900507
22,all,25,6.247037424130365,5.560396591321563,0.6521387766759048,0.686420846357823,23.66172138136516,29.10756191661512,2.015695494488021,8.173594673228788,2.1478580450090696,2.6757423768910726,2.7035180865679536,0.8405226022463843,0.8883483693200738,2.8604838544003077,4.657227871994834,4.114566921141304,10.9665289767503,0.3811223527914009,1.1737496945590458,0.7339770082537207,0.8414710156685281,0.2293281485837184,0.6226587486836159,2.111101642318282,26.54272450610109,0.6323830175237326,31.150757117719905,0.2019475212716628,3.134187505336211,0.8752307041257801,0.7125050735184644,0.5363933407553958,0.0621145918444092,0.3376943546415845,0.9347712860584814,0.3307677691625699,0.0165000521350613,0.0685363118419317,0.0572050292500208,1.9790253783070495,1.1474122744365791,0.1148289267086575,1.816681353986244,1.028831942303654,2.3913868258831386,1.5894065971517932,27.76091687638556,8.635294788397115,7.667795096662168,0.7977486711322896,5.52978410423,2.3865473522933875,548.7907421149569
22,[ 3 13 27],25,5.9427942791547785,0.803376943010857,1.188629246280513,0.3978135238213696,23.628408303865275,27.99033566633273,5.753706782617758,5.269065946035831,3.863284323369776,4.312341098982781,7.846745415654695,0.5117816817569576,0.2508714569084702,4.828344613915164,1.874687698826204,0.7438847624830771,9.822211709753184,0.4240546073429136,0.1532488184170439,0.1233191331995549,0.0512616429562804,0.0476554974872982,0.0417882591354903,0.0505747866041446,29.02937338967443,0.0384109469871951,32.0732989499817,0.4583177550177488,4.9130730855362685,0.8965032748299961,0.0425736081696399,0.1357399269901265,0.1783328864580866,0.029142174292783,0.0271190798823219,0.5053411154422527,0.101816542550857,0.0142770999200401,0.0172318522455086,0.2908151302523905,0.0720349178366568,0.0002672761535329,1.2256166386257163,2.0128663156236115,0.3733006963828487,3.2973544157345493,30.605232448109454,9.138051010206349,2.4183266749675525,0.7957378568789295,5.806821148971032,2.513661223001342,531.9583533900504
22,[ 3 27 28],25,7.675048553867853,0.0076221469115331,0.9885871026654484,1.0655842004235223,23.196240720977343,28.578028968674708,3.3163640801436784,6.1680965538687005,0.4854291219414151,2.879742052594928,5.743733941469355,2.1321405035568297,2.1828996771937774,3.747868674354997,2.177545630071819,2.2407054558573165,8.912541117740208,1.5368732530509064,0.4132101067478508,0.561384781340319,0.4003651616433608,0.6565778470216195,0.6555134162386516,0.3140303523750916,31.949592235962044,1.3957809438880453,31.74559732711853,0.2690513989497489,3.260219337443342,0.5335288668225218,0.584914489412121,0.0961033555090153,0.2930170027918031,0.1822118267414829,1.0249970996475462,0.5147292172818929,0.1189882928657191,0.0526215803786769,0.0036940419390631,0.2955279506837698,1.1895037777548083,1.2716093728057878,0.2923246714709968,1.0179371206514958,0.9210438324074524,2.296375489040024,30.596697297966458,8.92350556063851,2.4184710717458917,0.7610340035151566,5.910272116432939,3.0605696455754767,495.648446604662
22,[10],25,5.9427942791547785,0.803376943010857,1.188629246280513,0.3978135238213696,23.628408303865275,27.99033566633273,5.753706782617758,5.269065946035831,3.863284323369776,4.312341098982781,7.846745415654695,0.5117816817569576,0.2508714569084702,4.828344613915164,1.874687698826204,0.7438847624830771,9.822211709753184,0.4240546073429136,0.1532488184170439,0.1233191331995549,0.0512616429562804,0.0476554974872982,0.0417882591354903,0.0505747866041446,29.02937338967443,0.0384109469871951,32.0732989499817,0.4583177550177488,4.9130730855362685,0.8965032748299961,0.0425736081696399,0.1357399269901265,0.1783328864580866,0.029142174292783,0.0271190798823219,0.5053411154422527,0.101816542550857,0.0142770999200401,0.0172318522455086,0.2908151302523905,0.0720349178366568,0.0002672761535329,1.2256166386257163,2.0128663156236115,0.3733006963828487,3.2973544157345493,30.605232448109454,9.138051010206349,2.4183266749675525,0.7957378568789295,5.806821148971032,2.513661223001342,531.9583533900504
22,[14],25,5.9427942791547785,0.803376943010857,1.188629246280513,0.3978135238213696,23.628408303865275,27.99033566633273,5.753706782617758,5.269065946035831,3.863284323369776,4.312341098982781,7.846745415654695,0.5117816817569576,0.2508714569084702,4.828344613915164,1.874687698826204,0.7438847624830771,9.822211709753184,0.4240546073429136,0.1532488184170439,0.1233191331995549,0.0512616429562804,0.0476554974872982,0.0417882591354903,0.0505747866041446,29.02937338967443,0.0384109469871951,32.0732989499817,0.4583177550177488,4.9130730855362685,0.8965032748299961,0.0425736081696399,0.1357399269901265,0.1783328864580866,0.029142174292783,0.0271190798823219,0.5053411154422527,0.101816542550857,0.0142770999200401,0.0172318522455086,0.2908151302523905,0.0720349178366568,0.0002672761535329,1.2256166386257163,2.0128663156236115,0.3733006963828487,3.2973544157345493,30.605232448109454,9.138051010206349,2.4183266749675525,0.7957378568789295,5.806821148971032,2.513661223001342,531.9583533900504
22,[18 26 28],25,3.5045140720660406,1.8837667256135937,5.496497066656637,0.3488826332495058,23.570589044612497,27.902092029363597,3.742455674469774,4.956146566217779,0.4969273310300579,2.0534819558756148,4.6214236178009855,3.9837801019463086,0.1971201284222488,3.724234668237816,3.1824882501946554,2.65760530329225,13.458496588210473,0.96659160376646,2.280718154644667,1.0004460520768603,0.3339878282929973,0.2200350992567017,0.7969100451783468,0.1022934540349851,27.591765071188505,0.6649134942332751,31.87540623200997,0.8638434354963067,2.6038962051574366,0.3624267297219639,0.3107590977344401,0.5302792833107901,0.4738328962502578,0.5791833780776372,0.7727080731620255,0.155888741890557,0.2558592114709697,0.0029865288940484,0.1671578574936525,0.4389934484179392,0.1971772065048576,0.943316016593066,1.5017002485467188,2.3436934252736528,0.4711078276618501,0.8659093330480552,30.527899025732204,8.80679596608553,2.095551209427672,1.1352509433343876,6.0391928396627215,2.399614615950295,585.8632282140411
22,[18 26],25,3.232353667146264,1.396494670714958,0.4772232510840872,1.9548672947868333,23.73632766247883,30.06479125663649,6.230442217495984,4.668755740050962,3.777838277384969,2.721375189107228,1.1008660547017328,1.4726749429771289,0.1207577457458732,2.2047137057078,2.0349059185227105,2.569556251243597,9.733890136244794,0.2982905659531951,0.7617372424731101,0.8442775496825661,0.1178739972938274,0.3591621029983081,0.908248287190066,0.2030160357306023,23.75452336106688,0.3444425113604481,31.24426472324484,0.2727511724443481,1.60505087983827,0.1250850705547357,3.027743915859688,0.1074375081649527,0.955025185338922,0.1028539611301262,0.7100462323547205,0.4840619988397243,0.2809932474633143,0.0315542463085058,0.0317802458306317,1.0182650646656697,0.9061910767496216,0.1302222825405579,19.62344895487672,0.9266209392306736,0.1979289096354897,1.8381014696268456,32.87408972368917,13.405180875863543,1.796097670599952,0.8206036739315472,25.71441441088507,2.7367410799718,669.2561342057168
22,[18 28],25,6.880930036619198,1.763311032793883,3.3074515826550304,2.012092300821013,21.1996825670742,26.417378322355688,1.190520878878445,4.614824807652539,6.916967238616685,2.6269578940793608,4.9573594495861,4.051699668061968,1.9546768999931423,6.428844183633288,2.396254248585713,1.9522313849125297,8.230916790540718,1.3329392870101486,0.2815249546754117,0.6979589244239257,1.2187205025749677,0.7505091084232802,0.5818759926521402,2.5351954449916008,27.08789213080731,2.067722879254923,26.16722324084544,0.1108013092283002,3.1983298832873785,2.548381098148603,0.1764735650879423,0.8287454807186165,0.0642083664784358,0.1626993606523257,2.012468648618988,0.0940172467912177,0.152359173099466,0.0064337178167832,0.1384702606604477,3.249703482664639,0.1263508997044979,1.1175706682641111,1.9651168184900136,0.7597073025100229,0.3222460054070808,1.095762274200098,32.84441959799682,11.70050858100123,5.097234395547186,0.7766958192439226,5.59683230964977,3.7123361527112486,744.402214466922
22,[7],25,1.430526718305483,1.0086749954751824,3.7193931069915,0.873325570186946,25.877470324425904,26.841993034914974,4.576181308782811,3.729952600594189,8.452327564630586,2.79931097101543,8.428063928113279,2.498058299700258,2.884469611291617,3.0261545356002024,4.826996463692083,1.0196231122366868,9.409435576842132,0.8707309519802919,1.0039843417820895,0.604933914961574,0.5505960241097867,0.7075099603220885,1.185137932684789,0.1592499039580097,28.787164729175487,0.7323119385781496,27.05606358378263,0.8635629448835935,4.0953640349326506,1.161644873524935,0.3974587870900237,0.0877705453587971,0.6441525923492577,0.0018343066232127,0.6930528760331889,0.3973763534079069,0.0136815632477542,0.0371337922831429,0.061032758142673,1.2559196164411226,0.2644240138608218,0.3976402053338894,0.7280882466661573,1.7883848404669536,0.5487731010223911,2.358067743099369,33.5207013763929,7.640285673024646,1.852990008964788,0.968704393842355,5.740100219512886,2.285160539480426,610.820432205416
