Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Wed -23 May 2029 20:30,13059.0,13059.0,2419.0,129.0,0.0,7597.0,7446.0,2914.0,0.0,0.0,-0.0,506621.0,151.0,0.0,506621.0,2914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 21:00,12533.0,12533.0,2419.0,129.0,0.0,7597.0,7446.0,2387.0,0.0,0.0,-0.0,505427.0,151.0,0.0,505427.0,2387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 21:30,12118.0,12118.0,2419.0,129.0,0.0,7733.0,7583.0,1838.0,0.0,0.0,-0.0,504508.0,149.0,0.0,504508.0,1838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 22:00,11823.0,11823.0,2419.0,129.0,0.0,7733.0,7583.0,1543.0,0.0,0.0,-0.0,503737.0,149.0,0.0,503737.0,1543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 22:30,11380.0,11380.0,2419.0,129.0,0.0,7680.0,7532.0,1152.0,0.0,0.0,-0.0,503161.0,147.0,0.0,503161.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 23:00,11147.0,11147.0,2419.0,129.0,0.0,7680.0,7532.0,919.0,0.0,0.0,-0.0,502701.0,147.0,0.0,502701.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 23:30,11380.0,11380.0,2419.0,129.0,0.0,7723.0,7575.0,1109.0,0.0,0.0,-0.0,502147.0,149.0,0.0,502147.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 00:00,11127.0,11127.0,2419.0,129.0,0.0,6783.0,6664.0,1796.0,0.0,0.0,-0.0,501249.0,119.0,0.0,501249.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 00:30,10877.0,10877.0,2419.0,129.0,0.0,6156.0,6045.0,2173.0,0.0,0.0,-0.0,500162.0,111.0,0.0,500162.0,2173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 01:00,10621.0,10621.0,2419.0,129.0,0.0,6156.0,6045.0,1917.0,0.0,0.0,-0.0,499204.0,111.0,0.0,499204.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 01:30,10414.0,10414.0,2419.0,129.0,0.0,6344.0,6234.0,1522.0,0.0,0.0,-0.0,498443.0,110.0,0.0,498443.0,1522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 02:00,10117.0,10117.0,2419.0,129.0,0.0,6344.0,6234.0,1225.0,0.0,0.0,-0.0,497830.0,110.0,0.0,497830.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 02:30,9850.0,9850.0,2419.0,129.0,0.0,7176.0,7051.0,126.0,0.0,0.0,-0.0,497767.0,125.0,0.0,497767.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 03:00,9773.0,9773.0,2419.0,129.0,0.0,7176.0,7051.0,49.0,0.0,0.0,-0.0,497743.0,125.0,0.0,497743.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 03:30,9716.0,9716.0,2419.0,129.0,0.0,7216.0,7096.0,0.0,0.0,0.0,-48.0,497762.0,120.0,0.0,497762.0,0.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 04:00,9921.0,9921.0,2419.0,129.0,0.0,7216.0,7096.0,156.0,0.0,0.0,-0.0,497683.0,120.0,0.0,497683.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 04:30,10526.0,10526.0,2419.0,129.0,0.0,6161.0,6062.0,1817.0,0.0,0.0,-0.0,496775.0,99.0,0.0,496775.0,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 05:00,11344.0,11344.0,2419.0,129.0,0.0,6161.0,6062.0,2635.0,0.0,0.0,-0.0,495458.0,99.0,0.0,495458.0,2635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 05:30,12036.0,12036.0,2419.0,129.0,0.0,5707.0,5614.0,3781.0,0.0,0.0,-0.0,493567.0,93.0,0.0,493567.0,3781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 06:00,13547.0,13547.0,2419.0,129.0,0.0,5707.0,5614.0,5292.0,0.0,0.0,-0.0,490921.0,93.0,0.0,490921.0,5292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 06:30,15218.0,15218.0,2419.0,129.0,14089.0,4958.0,4886.0,0.0,0.0,0.0,-6378.0,493472.0,72.0,0.0,493472.0,0.0,-6378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 07:00,16067.0,16067.0,2419.0,129.0,14089.0,4958.0,4886.0,0.0,0.0,0.0,-5529.0,495684.0,72.0,0.0,495684.0,0.0,-5529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 07:30,17504.0,17504.0,2419.0,129.0,25305.0,3716.0,3671.0,0.0,0.0,0.0,-14064.0,501310.0,45.0,0.0,501310.0,0.0,-14064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
