Scenario,Zone,n_year,pv-N_Broken Hill (GW),pv-N_Central NSW Tablelands (GW),pv-N_Central West NSW (GW),pv-N_Murray River (GW),pv-N_North West New South Wales (GW),pv-N_Northern NSW Tablelands (GW),pv-N_Riverland (GW),wind-N_Broken Hill (GW),wind-N_Central NSW Tablelands (GW),wind-N_Central West NSW (GW),wind-N_Murray River (GW),wind-N_North West New South Wales (GW),wind-N_Northern NSW Tablelands (GW),wind-N_Riverland (GW),wind-N_Southern NSW Tablelands (GW),storage-NSW (GW),storage (GWh)
11,None,-1,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,all,10,0.58338763,0.083238578,0.243161399,0.311836179,32.51449028,5.600887847,0.857996346,2.370298025,0.830896232,3.648722034,0.025570978,0.043756048,0.216588059,0.610019489,9.238872325,19.33650073,554.1244893
11,all,25,4.565149398400912,0.1777961982300695,1.0368948289522848,0.0517308515733319,29.923698811072228,4.5480111679172985,1.7287879836877806,3.282023289314413,0.8626310579377261,4.287331076979594,0.165991329976304,0.0161466353671038,0.3490376406960145,0.1848196529996926,7.740974978381715,19.4807604710002,526.3640237556804
11,[0],10,6.548676367078045,0.0267782655473816,0.4558889745213648,0.7752518036055882,35.348374255716706,0.1870374581142364,1.2095447671378672,2.147711192645943,0.1176463062081119,2.546785199910996,0.0451798213882952,0.1353434496960055,0.5165808890782095,1.811492996012948,7.631366405323547,19.711883835559384,530.374826887853
11,[0],25,4.581980228406817,0.7948459113005306,0.4998300084170886,1.6074912115057778,31.34668863964736,2.237454466161939,0.7310660798881692,4.761493785950641,0.8091328181028778,2.337651105564152,0.3959151860275938,0.0322587895307719,0.597168063302643,0.4184683146459278,8.125843718864488,19.194452528253,509.32572330768926
11,[1],10,3.3501380846562903,0.2300926139506138,0.0423398750927823,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.298037103623436,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.712818490518377,19.405670399385784,545.7408863029248
11,[1],25,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,[2],10,2.186722983677555,0.3985482823977264,0.032414416914932,0.487384140399822,35.24863528783855,0.3781267912691888,0.0198945024618311,4.27945738924495,1.4764007660614098,3.0220716526371483,0.0774717443586645,0.0522799388290593,0.0007964678140766,0.1886527905657473,8.512775410523002,19.29866289064232,535.6723089953343
11,[2],25,3.930787367287497,0.5720274314540994,0.4868608758895796,0.3351182673430806,28.974509756105988,0.4217772929601864,0.2254794775940602,6.476560638987021,0.2788178825190464,1.5748057806756144,0.092877834268183,0.2597964759315481,0.2597578950455848,0.100554326061296,10.381589300230177,19.33430784412893,563.464100602758
11,[3],10,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,[3],25,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,37.239523076263495,0.0507763800451925,0.1952162701599888,4.361719885460722,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.52226651244284,19.405670399385784,541.0839337529067
11,[4],10,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,[4],25,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,[5],10,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,[5],25,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
11,[6],10,3.454179258123069,0.2300926139506138,0.044433406228407,0.1831336145872946,36.3889530214998,0.0507763800451925,0.1952162701599888,4.644015260932978,0.0186160177188909,2.3555934493908985,0.0028656330615675,0.0633682457450177,0.2516713794784735,0.002893852627956,8.737580988638673,19.405670399385784,541.0839337529067
