Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sat -06 Jun 2020 20:00,37352.0,37352.0,1000.0,0.0,0.0,22323.0,22300.0,14029.0,0.0,0.0,-0.0,65103.0,23.0,0.0,65103.0,14029.0,0.0,-166264.0,0.0,-6772.0,-5658.0,8407.0,0.0,0.0,-313.0
Sat -06 Jun 2020 20:30,36652.0,36652.0,1000.0,0.0,0.0,28796.0,28767.0,6856.0,0.0,0.0,-0.0,61675.0,29.0,0.0,61675.0,6856.0,0.0,-155901.0,0.0,-8916.0,-2823.0,8975.0,0.0,0.0,-368.0
Sat -06 Jun 2020 21:00,34636.0,34636.0,1000.0,0.0,0.0,28796.0,28767.0,4840.0,0.0,0.0,-0.0,59255.0,29.0,0.0,59255.0,4840.0,0.0,-149348.0,0.0,-8925.0,-2057.0,8593.0,0.0,0.0,-341.0
Sat -06 Jun 2020 21:30,33438.0,33438.0,1000.0,0.0,0.0,35817.0,35788.0,0.0,0.0,0.0,-3379.0,60607.0,30.0,0.0,60607.0,0.0,-3379.0,-148138.0,0.0,-12471.0,1039.0,9181.0,0.0,0.0,-399.0
Sat -06 Jun 2020 22:00,33933.0,33933.0,1000.0,0.0,0.0,35817.0,35788.0,0.0,0.0,0.0,-2885.0,61761.0,30.0,0.0,61761.0,0.0,-2885.0,-151517.0,0.0,-12484.0,735.0,9302.0,0.0,0.0,-395.0
Sat -06 Jun 2020 22:30,32649.0,32649.0,1000.0,0.0,0.0,39343.0,39313.0,0.0,0.0,0.0,-7693.0,64838.0,30.0,0.0,64838.0,0.0,-7693.0,-154401.0,0.0,-13468.0,2729.0,9616.0,0.0,0.0,-394.0
Sat -06 Jun 2020 23:00,32353.0,32353.0,1000.0,0.0,0.0,39343.0,39313.0,0.0,0.0,0.0,-7989.0,68034.0,30.0,0.0,68034.0,0.0,-7989.0,-162095.0,0.0,-13555.0,2729.0,9845.0,0.0,0.0,-361.0
Sat -06 Jun 2020 23:30,32069.0,32069.0,1000.0,0.0,0.0,39291.0,39257.0,0.0,0.0,0.0,-8222.0,71322.0,34.0,0.0,71322.0,0.0,-8222.0,-170084.0,0.0,-15499.0,3057.0,9769.0,0.0,0.0,-319.0
Sun -07 Jun 2020 00:00,31078.0,31078.0,1000.0,0.0,0.0,22584.0,22544.0,7494.0,0.0,0.0,-0.0,67575.0,40.0,0.0,67575.0,7494.0,0.0,-170812.0,0.0,-6867.0,-3768.0,7297.0,0.0,0.0,-125.0
Sun -07 Jun 2020 00:30,29948.0,29948.0,1000.0,0.0,0.0,23986.0,23946.0,4962.0,0.0,0.0,-0.0,65094.0,40.0,0.0,65094.0,4962.0,0.0,-163976.0,0.0,-5488.0,-2781.0,7273.0,0.0,0.0,-126.0
Sun -07 Jun 2020 01:00,28559.0,28559.0,1000.0,0.0,0.0,23986.0,23946.0,3573.0,0.0,0.0,-0.0,63308.0,40.0,0.0,63308.0,3573.0,0.0,-159163.0,0.0,-5512.0,-2348.0,7105.0,0.0,0.0,-122.0
Sun -07 Jun 2020 01:30,28033.0,28033.0,1000.0,0.0,0.0,26618.0,26579.0,415.0,0.0,0.0,-0.0,63100.0,38.0,0.0,63100.0,415.0,0.0,-157855.0,0.0,-7225.0,-1187.0,7449.0,0.0,0.0,-165.0
Sun -07 Jun 2020 02:00,27443.0,27443.0,1000.0,0.0,0.0,26618.0,26579.0,0.0,0.0,0.0,-175.0,63170.0,38.0,0.0,63170.0,0.0,-175.0,-157751.0,0.0,-7219.0,-1009.0,7499.0,0.0,0.0,-168.0
