Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Fri -10 Jan 2020 05:00,11595.0,11595.0,2419.0,129.0,4122.0,5007.0,5007.0,0.0,0.0,0.0,-82.0,522159.0,0.0,0.0,522159.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 05:30,12982.0,12982.0,2419.0,129.0,15735.0,3826.0,3826.0,0.0,0.0,0.0,-9127.0,525810.0,0.0,0.0,525810.0,0.0,-9127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 06:00,14085.0,14085.0,2419.0,129.0,15735.0,3826.0,3826.0,0.0,0.0,0.0,-8025.0,529020.0,0.0,0.0,529020.0,0.0,-8025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 06:30,15832.0,15832.0,2419.0,129.0,23989.0,3319.0,3319.0,0.0,0.0,0.0,-14025.0,534630.0,0.0,0.0,534630.0,0.0,-14025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 07:00,16803.0,16803.0,2419.0,129.0,23989.0,3319.0,3319.0,0.0,0.0,0.0,-13054.0,539851.0,0.0,0.0,539851.0,0.0,-13054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 07:30,16934.0,16934.0,2419.0,129.0,16461.0,2942.0,2942.0,0.0,0.0,-1936.0,-3082.0,541084.0,0.0,0.0,541084.0,0.0,-3082.0,-1936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 08:00,15797.0,15797.0,2419.0,129.0,16461.0,2942.0,2942.0,0.0,0.0,-6154.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-6154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 08:30,15063.0,15063.0,2419.0,129.0,18000.0,1869.0,1869.0,0.0,0.0,-7355.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-7355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 09:00,14843.0,14843.0,2419.0,129.0,18000.0,1869.0,1869.0,0.0,0.0,-7575.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-7575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 09:30,14252.0,14252.0,2419.0,129.0,22735.0,1816.0,1816.0,0.0,0.0,-12848.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-12848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 10:00,14590.0,14590.0,2419.0,129.0,22735.0,1816.0,1816.0,0.0,0.0,-12510.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-12510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 10:30,14250.0,14250.0,2419.0,129.0,15271.0,1484.0,1484.0,0.0,0.0,-5053.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-5053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 11:00,14626.0,14626.0,2419.0,129.0,15271.0,1484.0,1484.0,0.0,0.0,-4676.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-4676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 11:30,14294.0,14294.0,2419.0,129.0,15516.0,932.0,932.0,0.0,0.0,-4701.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-4701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 12:00,14503.0,14503.0,2419.0,129.0,15516.0,932.0,932.0,0.0,0.0,-4493.0,-0.0,541084.0,0.0,0.0,541084.0,0.0,-0.0,-4493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 12:30,14271.0,14271.0,2419.0,129.0,9407.0,785.0,785.0,1531.0,0.0,0.0,-0.0,540319.0,0.0,0.0,540319.0,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 13:00,15175.0,15175.0,2419.0,129.0,9407.0,785.0,785.0,2435.0,0.0,0.0,-0.0,539101.0,0.0,0.0,539101.0,2435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 13:30,15568.0,15568.0,2419.0,129.0,12176.0,747.0,747.0,96.0,0.0,0.0,-0.0,539053.0,0.0,0.0,539053.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 14:00,16390.0,16390.0,2419.0,129.0,12176.0,1247.0,1247.0,419.0,0.0,0.0,-0.0,538843.0,0.0,0.0,538843.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 14:30,17032.0,17032.0,2419.0,129.0,9035.0,1485.0,1485.0,3964.0,0.0,0.0,-0.0,536862.0,0.0,0.0,536862.0,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 15:00,17344.0,17344.0,2419.0,129.0,9035.0,1485.0,1485.0,4275.0,0.0,0.0,-0.0,534724.0,0.0,0.0,534724.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 15:30,17263.0,17263.0,2419.0,129.0,3684.0,2176.0,2176.0,8856.0,0.0,0.0,-0.0,530296.0,0.0,0.0,530296.0,8856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 16:00,17804.0,17804.0,2419.0,129.0,3684.0,2176.0,2176.0,9397.0,0.0,0.0,-0.0,525598.0,0.0,0.0,525598.0,9397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 16:30,17497.0,17497.0,2419.0,129.0,2573.0,3466.0,3466.0,8909.0,0.0,0.0,-0.0,521143.0,0.0,0.0,521143.0,8909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 17:00,16568.0,16568.0,2419.0,129.0,2573.0,3466.0,3466.0,7981.0,0.0,0.0,-0.0,517153.0,0.0,0.0,517153.0,7981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 17:30,15144.0,15144.0,2419.0,129.0,831.0,4530.0,4530.0,7235.0,0.0,0.0,-0.0,513535.0,0.0,0.0,513535.0,7235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -10 Jan 2020 18:00,14127.0,14127.0,2419.0,129.0,831.0,4530.0,4530.0,6218.0,0.0,0.0,-0.0,510426.0,0.0,0.0,510426.0,6218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
