Scenario,Zone,n_year,event,pv-V_Murray River (GW),wind-V_Gippsland (GW),wind-V_Moyne (GW),wind-V_Murray River (GW),wind-V_Western Victoria (GW),storage-VIC (GW),storage (GWh)
16,None,-1,,22.05092697079141,6.835242655475554,0.0327737160846197,0.0022776423095827,21.012128970807822,15.224987629293851,705.7349854855961
16,[25],-1,d,22.203498824351552,6.425843471280924,0.0416833764710062,0.0616190558670304,20.853784179910534,15.261966463921924,734.6952934310123
16,[25],-1,s,22.320921844416635,6.629953774693423,0.0918013901769398,0.002580653266083,20.80173505629022,15.234560015973043,717.3403552557859
16,[28],-1,d,27.804071244657848,9.936166386809944,0.2588951501244096,0.0070110241226615,14.226699196014458,15.330621334247873,798.6115684837996
16,[28],-1,s,22.436571001967344,8.43453804750023,0.0470971637818742,0.0082797446666695,18.660133289702543,15.247471805688129,756.1312584827822
