Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sun -23 May 2027 09:30,9958.0,9958.0,168.0,397.0,21283.0,500.0,496.0,0.0,0.0,0.0,-12390.0,248428.0,4.0,0.0,248428.0,0.0,-12390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 10:00,10311.0,10311.0,168.0,397.0,21283.0,500.0,496.0,0.0,0.0,0.0,-12038.0,253243.0,4.0,0.0,253243.0,0.0,-12038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 10:30,10096.0,10096.0,168.0,397.0,22182.0,474.0,470.0,0.0,0.0,0.0,-13126.0,258493.0,4.0,0.0,258493.0,0.0,-13126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 11:00,10618.0,10618.0,168.0,397.0,22182.0,474.0,470.0,0.0,0.0,0.0,-12604.0,263534.0,4.0,0.0,263534.0,0.0,-12604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 11:30,10498.0,10498.0,168.0,397.0,21583.0,564.0,559.0,0.0,0.0,0.0,-12214.0,268420.0,5.0,0.0,268420.0,0.0,-12214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 12:00,10405.0,10405.0,168.0,397.0,21583.0,564.0,559.0,0.0,0.0,0.0,-12307.0,273343.0,5.0,0.0,273343.0,0.0,-12307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 12:30,10489.0,10489.0,168.0,397.0,20743.0,762.0,756.0,0.0,0.0,0.0,-11582.0,277976.0,6.0,0.0,277976.0,0.0,-11582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 13:00,10535.0,10535.0,168.0,397.0,20743.0,762.0,756.0,0.0,0.0,0.0,-11536.0,282590.0,6.0,0.0,282590.0,0.0,-11536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 13:30,10714.0,10714.0,168.0,397.0,18368.0,635.0,630.0,0.0,0.0,0.0,-8854.0,286132.0,5.0,0.0,286132.0,0.0,-8854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 14:00,11315.0,11315.0,168.0,397.0,18368.0,2485.0,2467.0,0.0,0.0,0.0,-10103.0,290173.0,18.0,0.0,290173.0,0.0,-10103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 14:30,11372.0,11372.0,168.0,397.0,13544.0,2370.0,2352.0,0.0,0.0,0.0,-5107.0,292216.0,18.0,0.0,292216.0,0.0,-5107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 15:00,11624.0,11624.0,168.0,397.0,13544.0,2370.0,2352.0,0.0,0.0,0.0,-4855.0,294157.0,18.0,0.0,294157.0,0.0,-4855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 15:30,11729.0,11729.0,168.0,397.0,1040.0,2177.0,2161.0,7947.0,0.0,0.0,-0.0,290184.0,16.0,0.0,290184.0,7947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 16:00,13047.0,13047.0,168.0,397.0,1040.0,2177.0,2161.0,9265.0,0.0,0.0,-0.0,285552.0,16.0,0.0,285552.0,9265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 16:30,12247.0,12247.0,168.0,397.0,0.0,2708.0,2687.0,8974.0,0.0,0.0,-0.0,281065.0,21.0,0.0,281065.0,8974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 17:00,12959.0,12959.0,168.0,397.0,0.0,2708.0,2687.0,9685.0,0.0,0.0,-0.0,276222.0,21.0,0.0,276222.0,9685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 17:30,12607.0,12607.0,168.0,397.0,0.0,3122.0,3101.0,8919.0,0.0,0.0,-0.0,271763.0,22.0,0.0,271763.0,8919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 18:00,12403.0,12403.0,168.0,397.0,0.0,3122.0,3101.0,8715.0,0.0,0.0,-0.0,267405.0,22.0,0.0,267405.0,8715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 18:30,11926.0,11926.0,168.0,397.0,0.0,2914.0,2893.0,8447.0,0.0,0.0,-0.0,263182.0,20.0,0.0,263182.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 19:00,11254.0,11254.0,168.0,397.0,0.0,2914.0,2893.0,7775.0,0.0,0.0,-0.0,259295.0,20.0,0.0,259295.0,7775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 19:30,10558.0,10558.0,168.0,397.0,0.0,2431.0,2414.0,7562.0,0.0,0.0,-0.0,255514.0,17.0,0.0,255514.0,7562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 20:00,10588.0,10588.0,168.0,397.0,0.0,2431.0,2414.0,7591.0,0.0,0.0,-0.0,251718.0,17.0,0.0,251718.0,7591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 20:30,10359.0,10359.0,168.0,397.0,0.0,1798.0,1788.0,7995.0,0.0,0.0,-0.0,247720.0,10.0,0.0,247720.0,7995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 21:00,9776.0,9776.0,168.0,397.0,0.0,1798.0,1788.0,7413.0,0.0,0.0,-0.0,244014.0,10.0,0.0,244014.0,7413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 21:30,9505.0,9505.0,168.0,397.0,0.0,1487.0,1479.0,7452.0,0.0,0.0,-0.0,240288.0,8.0,0.0,240288.0,7452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 22:00,9538.0,9538.0,168.0,397.0,0.0,1487.0,1479.0,7485.0,0.0,0.0,-0.0,236546.0,8.0,0.0,236546.0,7485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 22:30,9149.0,9149.0,168.0,397.0,0.0,1134.0,1128.0,7450.0,0.0,0.0,-0.0,232821.0,6.0,0.0,232821.0,7450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 23:00,8934.0,8934.0,168.0,397.0,0.0,1134.0,1128.0,7234.0,0.0,0.0,-0.0,229204.0,6.0,0.0,229204.0,7234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 23:30,8856.0,8856.0,168.0,397.0,0.0,1002.0,996.0,7289.0,0.0,0.0,-0.0,225560.0,6.0,0.0,225560.0,7289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 00:00,8444.0,8444.0,168.0,397.0,0.0,4118.0,4086.0,3761.0,0.0,0.0,-0.0,223679.0,32.0,0.0,223679.0,3761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 00:30,8218.0,8218.0,168.0,397.0,0.0,4120.0,4088.0,3533.0,0.0,0.0,-0.0,221913.0,32.0,0.0,221913.0,3533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 01:00,8019.0,8019.0,168.0,397.0,0.0,4120.0,4088.0,3334.0,0.0,0.0,-0.0,220246.0,32.0,0.0,220246.0,3334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 01:30,7905.0,7905.0,168.0,397.0,0.0,4165.0,4133.0,3174.0,0.0,0.0,-0.0,218659.0,33.0,0.0,218659.0,3174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 02:00,7808.0,7808.0,168.0,397.0,0.0,4165.0,4133.0,3077.0,0.0,0.0,-0.0,217121.0,33.0,0.0,217121.0,3077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 02:30,7747.0,7747.0,168.0,397.0,0.0,5370.0,5328.0,1811.0,0.0,0.0,-0.0,216215.0,42.0,0.0,216215.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 03:00,7821.0,7821.0,168.0,397.0,0.0,5370.0,5328.0,1886.0,0.0,0.0,-0.0,215272.0,42.0,0.0,215272.0,1886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 03:30,7848.0,7848.0,168.0,397.0,0.0,4831.0,4794.0,2451.0,0.0,0.0,-0.0,214047.0,37.0,0.0,214047.0,2451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 04:00,8053.0,8053.0,168.0,397.0,0.0,4831.0,4794.0,2656.0,0.0,0.0,-0.0,212718.0,37.0,0.0,212718.0,2656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 04:30,8512.0,8512.0,168.0,397.0,0.0,4425.0,4392.0,3521.0,0.0,0.0,-0.0,210958.0,33.0,0.0,210958.0,3521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 05:00,9106.0,9106.0,168.0,397.0,0.0,4425.0,4392.0,4116.0,0.0,0.0,-0.0,208900.0,33.0,0.0,208900.0,4116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 05:30,9971.0,9971.0,168.0,397.0,0.0,3860.0,3834.0,5545.0,0.0,0.0,-0.0,206127.0,27.0,0.0,206127.0,5545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 06:00,10855.0,10855.0,168.0,397.0,0.0,3860.0,3834.0,6429.0,0.0,0.0,-0.0,202913.0,27.0,0.0,202913.0,6429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 06:30,11842.0,11842.0,168.0,397.0,15064.0,5477.0,5437.0,0.0,0.0,0.0,-9265.0,206619.0,41.0,0.0,206619.0,0.0,-9265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 07:00,12400.0,12400.0,168.0,397.0,15064.0,5477.0,5437.0,0.0,0.0,0.0,-8707.0,210102.0,41.0,0.0,210102.0,0.0,-8707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 07:30,13210.0,13210.0,168.0,397.0,21910.0,4585.0,4551.0,0.0,0.0,0.0,-13851.0,215642.0,35.0,0.0,215642.0,0.0,-13851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 08:00,13471.0,13471.0,168.0,397.0,21910.0,4585.0,4551.0,0.0,0.0,0.0,-13589.0,221078.0,35.0,0.0,221078.0,0.0,-13589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 08:30,13198.0,13198.0,168.0,397.0,23076.0,3411.0,3384.0,0.0,0.0,0.0,-13855.0,226620.0,27.0,0.0,226620.0,0.0,-13855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 09:00,12095.0,12095.0,168.0,397.0,23076.0,3411.0,3384.0,0.0,0.0,0.0,-14958.0,232603.0,27.0,0.0,232603.0,0.0,-14958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 09:30,11348.0,11348.0,168.0,397.0,23390.0,2918.0,2897.0,0.0,0.0,0.0,-15525.0,238813.0,21.0,0.0,238813.0,0.0,-15525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 10:00,11115.0,11115.0,168.0,209.0,23390.0,2918.0,2897.0,0.0,0.0,0.0,-15569.0,245041.0,21.0,0.0,245041.0,0.0,-15569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -24 May 2027 10:30,10676.0,10676.0,0.0,0.0,22732.0,3516.0,3488.0,0.0,0.0,0.0,-15572.0,251269.0,28.0,0.0,251269.0,0.0,-15572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
