Scenario,Zone,n_year,event,wind-T_King Island (GW),wind-T_North East Tasmania (GW),wind-T_North West Tasmania (GW),wind-T_Tasmania Midlands (GW),storage-TAS (GW),storage (GWh)
15,None,-1,,7.105427357601002e-15,0.0,0.1147121917918703,0.6326048385664436,0.686110971992612,1.5483880379692891
15,[23],-1,d,7.105427357601002e-15,0.0,0.1147121917918703,0.6326048385664436,0.686110971992612,1.5483880379706534
15,[23],-1,s,7.105427357601002e-15,0.0,0.1147121917918703,0.6326048385664436,0.686110971992612,1.5483880379692891
15,[24],-1,d,1.6041923345255782e-10,4.998668146072305e-12,0.693850551877599,0.0698130759160555,0.6861109719938341,1.6735922088455482
15,[24],-1,s,7.105427357601002e-15,0.0,0.1147121917918703,0.6326048385664436,0.686110971992612,1.5483880379692891
