Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sun -16 May 2021 02:00,1766.0,1766.0,3.0,18.0,0.0,2215.0,2210.0,0.0,0.0,0.0,-470.0,111581.0,5.0,0.0,111581.0,0.0,-470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 02:30,1704.0,1704.0,3.0,18.0,0.0,1753.0,1747.0,0.0,0.0,0.0,-70.0,111610.0,6.0,0.0,111610.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 03:00,1653.0,1653.0,3.0,18.0,0.0,1753.0,1747.0,0.0,0.0,0.0,-121.0,111658.0,6.0,0.0,111658.0,0.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 03:30,1649.0,1649.0,3.0,18.0,0.0,1620.0,1616.0,7.0,0.0,0.0,-0.0,111654.0,4.0,0.0,111654.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 04:00,1620.0,1620.0,3.0,18.0,0.0,1620.0,1616.0,0.0,0.0,0.0,-21.0,111663.0,4.0,0.0,111663.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 04:30,1633.0,1633.0,3.0,18.0,0.0,1769.0,1761.0,0.0,0.0,0.0,-158.0,111726.0,8.0,0.0,111726.0,0.0,-158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 05:00,1661.0,1661.0,3.0,18.0,0.0,1769.0,1761.0,0.0,0.0,0.0,-130.0,111778.0,8.0,0.0,111778.0,0.0,-130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 05:30,1730.0,1730.0,3.0,18.0,0.0,1835.0,1824.0,0.0,0.0,0.0,-126.0,111828.0,11.0,0.0,111828.0,0.0,-126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 06:00,1773.0,1773.0,3.0,18.0,0.0,1835.0,1824.0,0.0,0.0,0.0,-84.0,111862.0,11.0,0.0,111862.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 06:30,1887.0,1887.0,3.0,18.0,0.0,2284.0,2267.0,0.0,0.0,0.0,-419.0,112030.0,17.0,0.0,112030.0,0.0,-419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 07:00,1994.0,1994.0,3.0,18.0,0.0,2284.0,2267.0,0.0,0.0,0.0,-311.0,112154.0,17.0,0.0,112154.0,0.0,-311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 07:30,2062.0,2062.0,3.0,18.0,1413.0,2122.0,2104.0,0.0,0.0,0.0,-1495.0,112752.0,18.0,0.0,112752.0,0.0,-1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 08:00,2124.0,2124.0,3.0,18.0,1413.0,2122.0,2104.0,0.0,0.0,0.0,-1433.0,113325.0,18.0,0.0,113325.0,0.0,-1433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 08:30,2236.0,2236.0,3.0,18.0,2024.0,1743.0,1731.0,0.0,0.0,0.0,-1553.0,113946.0,12.0,0.0,113946.0,0.0,-1553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 09:00,2278.0,2278.0,3.0,18.0,2024.0,1743.0,1731.0,0.0,0.0,0.0,-1511.0,114551.0,12.0,0.0,114551.0,0.0,-1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 09:30,2420.0,2420.0,3.0,18.0,4487.0,1586.0,1580.0,0.0,0.0,0.0,-3674.0,116020.0,6.0,0.0,116020.0,0.0,-3674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 10:00,2578.0,2578.0,3.0,18.0,4487.0,1586.0,1580.0,0.0,0.0,0.0,-3516.0,117427.0,6.0,0.0,117427.0,0.0,-3516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 10:30,2731.0,2731.0,3.0,18.0,4889.0,1281.0,1275.0,0.0,0.0,0.0,-3460.0,118810.0,6.0,0.0,118810.0,0.0,-3460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 11:00,2671.0,2671.0,3.0,18.0,4889.0,1281.0,1275.0,0.0,0.0,0.0,-3519.0,120218.0,6.0,0.0,120218.0,0.0,-3519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 11:30,2887.0,2887.0,3.0,18.0,4082.0,1081.0,1077.0,0.0,0.0,-614.0,-1684.0,120892.0,4.0,0.0,120892.0,0.0,-1684.0,-614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 12:00,2833.0,2833.0,3.0,18.0,4082.0,1081.0,1077.0,0.0,0.0,-2352.0,-0.0,120892.0,4.0,0.0,120892.0,0.0,-0.0,-2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 12:30,2840.0,2840.0,3.0,18.0,5873.0,914.0,911.0,0.0,0.0,-3969.0,-0.0,120892.0,3.0,0.0,120892.0,0.0,-0.0,-3969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 13:00,2894.0,2894.0,3.0,18.0,5873.0,914.0,911.0,0.0,0.0,-3915.0,-0.0,120892.0,3.0,0.0,120892.0,0.0,-0.0,-3915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 13:30,2886.0,2886.0,3.0,18.0,5565.0,829.0,826.0,0.0,0.0,-3529.0,-0.0,120892.0,2.0,0.0,120892.0,0.0,-0.0,-3529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 14:00,2825.0,2825.0,3.0,18.0,5565.0,1135.0,1135.0,0.0,0.0,-3898.0,-0.0,120892.0,1.0,0.0,120892.0,0.0,-0.0,-3898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 14:30,2915.0,2915.0,3.0,18.0,4449.0,855.0,854.0,0.0,0.0,-2409.0,-0.0,120892.0,0.0,0.0,120892.0,0.0,-0.0,-2409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 15:00,2824.0,2824.0,3.0,18.0,4449.0,855.0,854.0,0.0,0.0,-2501.0,-0.0,120892.0,0.0,0.0,120892.0,0.0,-0.0,-2501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 15:30,2861.0,2861.0,3.0,18.0,2894.0,481.0,480.0,0.0,0.0,-535.0,-0.0,120892.0,0.0,0.0,120892.0,0.0,-0.0,-535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 16:00,2913.0,2913.0,3.0,18.0,2894.0,481.0,480.0,0.0,0.0,-483.0,-0.0,120892.0,0.0,0.0,120892.0,0.0,-0.0,-483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 16:30,3311.0,3311.0,3.0,18.0,0.0,445.0,445.0,2845.0,0.0,0.0,-0.0,119470.0,1.0,0.0,119470.0,2845.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 17:00,3071.0,3071.0,3.0,18.0,0.0,445.0,445.0,2604.0,0.0,0.0,-0.0,118167.0,1.0,0.0,118167.0,2604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 17:30,3311.0,3311.0,3.0,18.0,0.0,434.0,432.0,2856.0,0.0,0.0,-0.0,116739.0,1.0,0.0,116739.0,2856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 18:00,3189.0,3189.0,3.0,18.0,0.0,434.0,432.0,2734.0,0.0,0.0,-0.0,115373.0,1.0,0.0,115373.0,2734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 18:30,3093.0,3093.0,3.0,18.0,0.0,635.0,633.0,2437.0,0.0,0.0,-0.0,114154.0,2.0,0.0,114154.0,2437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 19:00,2934.0,2934.0,3.0,18.0,0.0,635.0,633.0,2278.0,0.0,0.0,-0.0,113015.0,2.0,0.0,113015.0,2278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 19:30,2716.0,2716.0,3.0,18.0,0.0,1472.0,1472.0,1223.0,0.0,0.0,-0.0,112404.0,0.0,0.0,112404.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 20:00,2481.0,2481.0,3.0,18.0,0.0,1472.0,1472.0,987.0,0.0,0.0,-0.0,111910.0,0.0,0.0,111910.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 20:30,2445.0,2445.0,3.0,18.0,0.0,1571.0,1570.0,853.0,0.0,0.0,-0.0,111484.0,1.0,0.0,111484.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 21:00,2389.0,2389.0,3.0,18.0,0.0,1571.0,1570.0,797.0,0.0,0.0,-0.0,111086.0,1.0,0.0,111086.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 21:30,2241.0,2241.0,3.0,18.0,0.0,1807.0,1806.0,413.0,0.0,0.0,-0.0,110879.0,1.0,0.0,110879.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 22:00,2143.0,2143.0,3.0,18.0,0.0,1807.0,1806.0,315.0,0.0,0.0,-0.0,110721.0,1.0,0.0,110721.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 22:30,2182.0,2182.0,3.0,18.0,0.0,2109.0,2106.0,52.0,0.0,0.0,-0.0,110695.0,3.0,0.0,110695.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 23:00,2062.0,2062.0,3.0,18.0,0.0,2109.0,2106.0,0.0,0.0,0.0,-68.0,110723.0,3.0,0.0,110723.0,0.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -16 May 2021 23:30,2312.0,2312.0,3.0,18.0,0.0,2166.0,2161.0,125.0,0.0,0.0,-0.0,110660.0,5.0,0.0,110660.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 00:00,2122.0,2122.0,3.0,18.0,0.0,2031.0,2027.0,70.0,0.0,0.0,-0.0,110625.0,5.0,0.0,110625.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 00:30,2024.0,2024.0,3.0,18.0,0.0,2271.0,2265.0,0.0,0.0,0.0,-269.0,110733.0,6.0,0.0,110733.0,0.0,-269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 01:00,1905.0,1905.0,3.0,18.0,0.0,2271.0,2265.0,0.0,0.0,0.0,-388.0,110888.0,6.0,0.0,110888.0,0.0,-388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 01:30,1792.0,1792.0,3.0,18.0,0.0,2352.0,2345.0,0.0,0.0,0.0,-582.0,111121.0,7.0,0.0,111121.0,0.0,-582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 02:00,1748.0,1748.0,3.0,18.0,0.0,2352.0,2345.0,0.0,0.0,0.0,-626.0,111371.0,7.0,0.0,111371.0,0.0,-626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 02:30,1705.0,1705.0,3.0,18.0,0.0,2347.0,2340.0,0.0,0.0,0.0,-663.0,111636.0,6.0,0.0,111636.0,0.0,-663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 03:00,1688.0,1688.0,3.0,18.0,0.0,2347.0,2340.0,0.0,0.0,0.0,-680.0,111908.0,6.0,0.0,111908.0,0.0,-680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 03:30,1691.0,1691.0,3.0,18.0,0.0,2327.0,2320.0,0.0,0.0,0.0,-658.0,112171.0,7.0,0.0,112171.0,0.0,-658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 04:00,1703.0,1703.0,3.0,18.0,0.0,2327.0,2320.0,0.0,0.0,0.0,-646.0,112430.0,7.0,0.0,112430.0,0.0,-646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 04:30,1760.0,1760.0,3.0,18.0,0.0,2220.0,2215.0,0.0,0.0,0.0,-482.0,112622.0,5.0,0.0,112622.0,0.0,-482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 05:00,1888.0,1888.0,3.0,18.0,0.0,2220.0,2215.0,0.0,0.0,0.0,-354.0,112764.0,5.0,0.0,112764.0,0.0,-354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 05:30,2036.0,2036.0,3.0,18.0,0.0,1698.0,1695.0,317.0,0.0,0.0,-0.0,112606.0,3.0,0.0,112606.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon -17 May 2021 06:00,2280.0,2280.0,3.0,18.0,0.0,1698.0,1695.0,560.0,0.0,0.0,-0.0,112325.0,3.0,0.0,112325.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
