,station no.,station name,latitude,longitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,closestZone,distanceToZone,distanceToCentroid,inZone
577,024024,LOXTON RESEARCH CENTRE                  ,-34.439,140.5978,6.1853004,29.727272727272727,0.022961308395120783,1.8436088382205709,3.3549960392678453,1996-12-22 10:30:00,29.9998048,330393,17,8.37512453676722,57.52319648010907,False
579,024048,RENMARK AERO                            ,-34.1983,140.6766,6.4385605,25.58823529411765,0.017853772482638308,1.6212296658218428,3.9714055457873534,1995-06-26 12:30:00,29.999938416666666,356538,17,0.0,40.30406887669372,True
