zone,highWindFrac,meanDuration
0,0.023355997766065378,21.2717487047866
1,0.01633138509341259,23.32387801270184
2,0.022748643346341416,36.97294609913345
3,0.016618581931977856,29.323032826619958
4,0.00697536082094173,8.036266343278658
5,0.010026734868016012,16.74680431703662
6,0.019873129057516342,27.22467850225668
7,0.0602152113038237,38.41857105144787
8,0.0158395194962325,20.33333333333333
9,0.011154965200925005,11.517569050474673
10,0.00818426680996933,6.731648181764314
11,0.0109765817683993,6.7502306539469386
12,0.01334019571470435,9.534785255783458
13,0.01671327522237203,19.72915829255937
14,0.0416715384553558,20.43636363636364
15,0.03748597136544314,34.46694921370416
16,0.008174912147813329,7.451007199226659
17,0.019873129057516342,27.22467850225668
18,0.0367594726409213,52.953453889131985
19,0.019556775723986432,16.89882706929011
20,0.008876764352060112,16.076402507637003
21,0.044837555536883,39.85714285714285
22,0.037696252446212226,27.031521353420775
23,0.03175011974853973,34.62435548729899
24,0.03361411963537255,53.86765904137037
25,0.028720014553639102,44.08445790850811
26,0.02805373090290334,78.0497942017771
27,0.016618581931977856,29.323032826619958
28,0.09440050599131676,77.3214734918259
29,0.0166445288099951,25.278128426226065
30,0.016518797487173557,14.071277246716132
31,0.0204595844591464,14.661128350647695
32,0.01030806337580909,19.20907707155729
