zone,highWindFrac,meanDuration
0,0.023355997766065378,21.271748704786603
1,0.01633138509341259,23.32387801270184
2,0.022748643346341416,36.97294609913345
3,0.016618581931977856,29.323032826619958
4,0.005010559137153943,11.063792934931246
5,0.010026734868016012,16.74680431703662
6,0.019873129057516342,27.22467850225668
7,0.022071230368006223,37.809290918676126
8,0.0158395194962325,20.33333333333333
9,0.011154965200925005,11.517569050474673
10,0.00818426680996933,6.731648181764314
11,0.0109765817683993,6.7502306539469386
12,0.013074968955114064,11.473275075303667
13,0.01671327522237203,19.72915829255937
14,0.0416715384553558,20.43636363636364
15,0.03748597136544314,34.46694921370416
16,0.008730845685023936,9.090323922733788
17,0.019873129057516342,27.22467850225668
18,0.0367594726409213,52.953453889131985
19,0.01633612644124034,17.93310944403645
20,0.008876764352060112,16.076402507637003
21,0.044837555536883,39.85714285714285
22,0.04421029180047114,37.918962920846454
23,0.03175011974853973,34.62435548729899
24,0.06039709137384046,77.80492538027389
25,0.028720014553639102,44.08445790850811
26,0.02805373090290334,78.0497942017771
27,0.016618581931977856,29.323032826619958
28,0.0924840750512558,79.95441535595504
29,0.0166445288099951,25.278128426226065
30,0.016518797487173557,14.071277246716132
31,0.0204595844591464,14.661128350647695
32,0.01030806337580909,19.20907707155729
