zone,highWindFrac,meanDuration
0,0.023362112078577277,21.27111693442593
1,0.0057429441145097765,14.104420381606788
2,0.022538563842248296,36.908401042362094
3,0.016473259796329836,36.01211651279386
4,0.0050166247104147434,11.074348265187163
5,0.010189683016394897,17.05093281523386
6,0.019958037366830557,27.293486372951936
7,0.02655699841889975,42.935748679375216
8,0.0158395194962325,20.33333333333333
9,0.004698372090474986,4.960364615195463
10,0.009435136011188314,7.919371322624951
11,0.01412669128742029,9.650291909393646
12,0.013086415740990044,11.478735433256865
13,0.016750761509263284,19.818582443039947
14,0.0416715384553558,20.43636363636364
15,0.05294041523271872,41.372656544796115
16,0.004328098306406408,4.226502527468759
17,0.019958037366830557,27.293486372951936
18,0.03855267945129556,42.190438441802016
19,0.016288608106511525,17.516598440863103
20,0.006872925051404534,11.888014962671978
21,0.044837555536883,39.85714285714285
22,0.05429201824816401,38.15520848321233
23,0.026413556717791373,32.724189022978976
24,0.05594338269097371,82.33873948075968
25,0.03062911552507041,54.205769364124336
26,0.030644102308081875,93.5547083524804
27,0.016473259796329836,36.01211651279386
28,0.06918172030794839,76.07575730432627
29,0.016592590348022795,25.10953487874982
30,0.016575123195006414,16.547359391689817
31,0.020501688855375635,14.671222362600671
32,0.010411790923818292,19.403234823201036
