station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,closestZone,distanceToZone,distanceToCentroid,inZone
009741,ALBANY AIRPORT COMPARISON               ,-34.9414,117.8022,68.0,6.969145,6.5,0.019138924726234574,1.6146426505207512,4.316214995881174,1994-01-01 16:00:00,29.990407216666664,290975,29,0.0,8.034099659900503,True
009999,ALBANY AIRPORT                          ,-34.9411,117.8158,68.4,7.027893,7.205479452054795,0.014505052055177714,1.562550010084906,4.4977076068268484,2012-01-13 12:00:00,29.999847783333333,195949,29,0.0,6.586523290925653,True
