station no.,station name,latitude,longitude,altitude,meanSpeed-10m,meanSpeed-100m,scaleFactor,startTime,meanRes,Observations,meanDuration,highWindFrac,closestZone,distanceToZone,distanceToCentroid,inZone
033045,MACKAY AERO                             ,-21.1706,149.1794,5.3,4.874003453976421,6.210302,1.274168542289703,1995-11-14 01:00:00,29.90124373333333,434842.0,2.875,0.0039512315677596,11,7.562863103179123,93.45354629179857,False
033106,HAMILTON ISLAND AIRPORT                 ,-20.3658,148.9536,58.7,7.55539043266308,7.59709,1.0055191502232237,2002-07-19 12:00:00,29.999917433333334,274229.0,3.076923076923077,0.008531242470265,11,39.01323976833973,98.75835869673249,False
033119,MACKAY M.O                              ,-21.1172,149.2169,30.3,4.500035584670358,6.8704095,1.5267455910976442,1995-10-15 13:00:00,29.98935895,351011.0,11.785714285714286,0.0088354717580724,11,14.139447045315475,97.48899831898383,False
033210,ST LAWRENCE                             ,-22.3472,149.5242,9.2,2.927868937725356,4.921065,1.6807667823722192,2004-08-09 18:00:00,29.99990833333333,264071.0,2.4,0.0063969677421316,11,29.331704801005266,176.18666247837456,False
033247,PROSERPINE AIRPORT                      ,-20.4925,148.555,19.7,3.7233080678637527,6.4205017,1.7244078631044184,1996-03-22 08:00:00,29.99993673333333,315931.0,14.941176470588236,0.0205685674531386,11,0.1631072460927245,63.89445161965711,False
033255,HAMILTON ISLAND                         ,-20.3528,148.9511,22.6,7.765661839002996,7.22885,0.9308736380382984,2002-03-14 17:00:00,29.985214383333336,2915.0,0.0,0.0077256657355625,11,39.76581228046294,99.4639190574183,False
033317,HAY POINT                               ,-21.2894,149.3008,7.0,6.225754303167961,7.2941017,1.1716012807277512,2005-11-24 14:00:00,29.999901516666668,300465.0,4.5,0.005069693673366,11,10.503650209684006,108.0569523144602,False
033327,BOWEN AIRPORT AWS                       ,-20.0153,148.2138,5.9,4.405988740082895,7.54576,1.7126144890198138,2015-03-19 12:30:00,29.99978778333333,139175.0,7.7,0.0204512264687265,11,14.992843196237716,105.22872992161204,False
033329,OORALEA RACECOURSE (MACKAY TURF CLUB)   ,-21.17,149.1515,10.3,2.942537985398318,5.663748,1.924783236641518,2016-06-27 10:00:00,29.9997479,117844.0,9.416666666666666,0.0225892343928817,11,5.2071024178980085,90.35263315913467,False
034035,MORANBAH AIRPORT                        ,-22.0644,148.0758,232.2,4.055527166932762,5.8115926,1.433005461354931,2012-02-27 09:00:00,29.9998461,194688.0,3.0,0.004982968543307,11,20.125792067787767,94.16103535337861,False
